ID;Apellido 1;Apellido 2;Nombre;Sexo;dblpperson name;dblp author key;Grupo;Universidad/Centro;Region;Empresa;Centro;Foreigner;Email(s);responsable;Corresponsal;Junta Dir.;Antiguedad;ACTIVO?;reciente;Valencia10;Almeria 12;Madrid 13;Cadiz 14;Santander 15;Salamanca 16;Tenerife 2017;;;;;;;;;;;;;;
SF00001;App1_175;App2_175;Nombre_175;V;Nombre_175 App1_175;homepages/Nombre_175App1_175;;UPV;C. Valenciana;;;;email_175;;;Sí;2010;Sí;2015;;2012;2013;2014;2015;;;;;;;;;;;;;;;;
SF00002;App1_176;App2_176;Nombre_176;V;Nombre_176 App1_176;homepages/Nombre_176App1_176;;US;Andalucia;;;;email_176;;;Sí;2010;Sí;2016;2010;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;
SF00004;App1_177;App2_177;Nombre_177;V;Nombre_177 App1_177;homepages/Nombre_177App1_177;;UPC;Cataluña;;;;email_177;;;Sí;2010;Sí;2016;2010;2012;2013;2014;;2016;;;;;;;;;;;;;;;
SF00005;App1_178;App2_178;Nombre_178;V;Nombre_178 App1_178;homepages/Nombre_178App1_178;Alarcos;UCLM;Castilla-La Mancha;;;;email_178;Sí;;Sí;2010;Sí;2017;2010;;2013;;2015;;2017;;;;;;;;;;;;;;
SF00006;App1_179;App2_179;Nombre_179;V;Nombre_179 App1_179;homepages/Nombre_179App1_179;ONEKIN;EHU;Pais Vasco;;;;email_179;Sí;;Sí;2010;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SF00007;App1_180;App2_180;Nombre_180;V;Nombre_180 App1_180;homepages/Nombre_180App1_180;;UPC;Cataluña;;;;email_180;;;Sí;2010;Sí;2016;2010;2012;2013;2014;;2016;;;;;;;;;;;;;;;
SF00008;App1_16;App2_16;Nombre_16;V;Nombre_16 App1_16;homepages/Nombre_16App1_16;CLIP;UPM;C. Madrid;;;;email_16;Sí;Sí;Sí;2010;Sí;2013;;;2013;;;;;;;;;;;;;;;;;;
SF00009;App1_17;App2_17;Nombre_17;V;Nombre_17 App1_17;homepages/Nombre_17App1_17;GISUM;UMA;Andalucia;;;;email_17;Sí;Sí;Sí;2010;Sí;2017;2010;;2013;2014;;2016;2017;;;;;;;;;;;;;;
SF00010;App1_181;App2_181;Nombre_181;V;Nombre_181 App1_181;homepages/Nombre_181App1_181;;UPM;C. Madrid;;;;email_181;;;Sí;2010;Sí;2017;;2012;2013;;;2016;2017;;;;;;;;;;;;;;
SF00011;App1_2;App2_2;Nombre_2;M;Nombre_2 App1_2;homepages/Nombre_2App1_2;ELP;UPV;C. Valenciana;;;;email_2;Sí;Sí;Sí;2010;Sí;2017;2010;;;;;;2017;;;;;;;;;;;;;;
SF00012;App1_18;App2_18;Nombre_18;V;Nombre_18 App1_18;homepages/Nombre_18App1_18;GIIS;UNIOVI;Asturias;;;;email_18;Sí;Sí;Sí;2010;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SF00013;App1_50;App2_50;Nombre_50;M;Nombre_50 App1_50;homepages/Nombre_50App1_50;;UCLM;Castilla-La Mancha;;;;email_50;;;Sí;2010;Sí;2017;2010;2012;2013;2014;2015;;2017;;;;;;;;;;;;;;
SF00014;App1_51;App2_51;Nombre_51;M;Nombre_51 App1_51;homepages/Nombre_51App1_51;LDB;UDC;Galicia;;;;email_51;Sí;;Sí;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SF00015;App1_52;App2_52;Nombre_52;M;Nombre_52 App1_52;homepages/Nombre_52App1_52;;UPC;Cataluña;;;;email_52;;;Sí;2010;Sí;2016;2010;;;;;2016;;;;;;;;;;;;;;;
SN00001;App1_182;App2_182;Nombre_182;V;Nombre_182 App1_182;homepages/Nombre_182App1_182;;UCLM;Castilla-La Mancha;;;;email_182;;;Sí;2012;Sí;2017;;2012;;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00002;App1_183;App2_183;Nombre_183;V;Nombre_183 App1_183;homepages/Nombre_183App1_183;Atenea;UMA;Andalucia;;;;email_183;Sí;;Sí;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00003;App1_184;App2_184;Nombre_184;V;Nombre_184 App1_184;homepages/Nombre_184App1_184;;UPV;C. Valenciana;;;;email_184;;;Sí;2010;Sí;2017;2010;;;;2015;2016;2017;;;;;;;;;;;;;;
SN00004;App1_1;App2_1;Nombre_1;V;Nombre_1 App1_1;homepages/Nombre_1App1_1;INDALOG;UAL;Andalucia;;;;email_1;Sí;Si;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00005;App1_19;App2_19;Nombre_19;V;Nombre_19 App1_19;homepages/Nombre_19App1_19;DISCO;UNIZAR;Aragon;;;;email_19;Sí;Sí;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00006;App1_185;App2_185;Nombre_185;V;Nombre_185 App1_185;homepages/Nombre_185App1_185;;US;Andalucia;;;;email_185;;;;2010;Sí;2017;2010;;;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00007;App1_186;App2_186;Nombre_186;V;Nombre_186 App1_186;homepages/Nombre_186App1_186;;UNEX;Extremadura;;;;email_186;;;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00008;App1_20;App2_20;Nombre_20;V;Nombre_20 App1_20;homepages/Nombre_20App1_20;UCASE;UCA;Andalucia;;;;email_20;;Sí;;2010;Sí;2017;2010;;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00009;App1_3;App2_3;Nombre_3;M;Nombre_3 App1_3;homepages/Nombre_3App1_3;Atenea;UMA;Andalucia;;;;email_3;;Sí;;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00010;App1_187;App2_187;Nombre_187;V;Nombre_187 App1_187;homepages/Nombre_187App1_187;;UMA;Andalucia;;;;email_187;;;;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00011;App1_21;App2_21;Nombre_21;V;Nombre_21 App1_21;homepages/Nombre_21App1_21;ISSI;UPV;C. Valenciana;;;;email_21;Sí;Sí;;2012;Sí;2016;;2012;;2014;2015;2016;;;;;;;;;;;;;;;
SN00012;App1_188;App2_188;Nombre_188;V;Nombre_188 App1_188;homepages/Nombre_188App1_188;;UCLM;Castilla-La Mancha;;;;email_188;;;;2012;Sí;2015;;2012;;2014;2015;;;;;;;;;;;;;;;;
SN00013;App1_189;App2_189;Nombre_189;V;Nombre_189 App1_189;homepages/Nombre_189App1_189;;US;Andalucia;;;;email_189;;;;2012;Sí;2017;;2012;;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00014;App1_53;App2_53;Nombre_53;M;Nombre_53 App1_53;homepages/Nombre_53App1_53;;UCA;Andalucia;;;;email_53;;;;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00015;App1_22;App2_22;Nombre_22;V;Nombre_22 App1_22;homepages/Nombre_22App1_22;GSYA;UCLM;Castilla-La Mancha;;;;email_22;Sí;Sí;;2010;Sí;2016;2010;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;
SN00016;App1_4;App2_4;Nombre_4;M;Nombre_4 App1_4;homepages/Nombre_4App1_4;MORSE;UMA;Andalucia;;;;email_4;;Sí;Sí;2010;Sí;2016;2010;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;
SN00017;App1_190;App2_190;Nombre_190;V;Nombre_190 App1_190;homepages/Nombre_190App1_190;;UNEX;Extremadura;;;;email_190;;;;2010;Sí;2017;2010;2012;;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00018;App1_191;App2_191;Nombre_191;V;Nombre_191 App1_191;homepages/Nombre_191App1_191;;EHU;Pais Vasco;;;;email_191;;;;2010;Sí;2017;2010;2012;2013;2014;2015;;2017;;;;;;;;;;;;;;
SN00019;App1_192;App2_192;Nombre_192;V;Nombre_192 App1_192;homepages/Nombre_192App1_192;;URJC;C. Madrid;;;;email_192;;;;2013;Sí;2017;;;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00020;App1_23;App2_23;Nombre_23;V;Nombre_23 App1_23;homepages/Nombre_23App1_23;QUERCUS;UNEX;Extremadura;;;;email_23;Sí;Sí;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00021;App1_193;App2_193;Nombre_193;V;Nombre_193 App1_193;homepages/Nombre_193App1_193;COS2MOS;UNIZAR;Aragon;;;;email_193;Sí;Sí;;2012;Sí;2017;;2012;;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00022;App1_54;App2_54;Nombre_54;M;Nombre_54 App1_54;homepages/Nombre_54App1_54;;EHU;Pais Vasco;;;;email_54;;;;2010;Sí;2017;2010;;2013;2014;2015;;2017;;;;;;;;;;;;;;
SN00023;App1_5;App2_5;Nombre_5;M;Nombre_5 App1_5;homepages/Nombre_5App1_5;LoRea;EHU;Pais Vasco;;;;email_5;Sí;Sí;;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00024;App1_194;App2_194;Nombre_194;V;Nombre_194 App1_194;homepages/Nombre_194App1_194;;US;Andalucia;;;;email_194;;;;2014;Sí;2016;;;;2014;2015;2016;;;;;;;;;;;;;;;
SN00025;App1_195;App2_195;Nombre_195;V;Nombre_195 App1_195;homepages/Nombre_195App1_195;;UA;C. Valenciana;;;;email_195;;;;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00026;App1_24;App2_24;Nombre_24;V;Nombre_24 App1_24;homepages/Nombre_24App1_24;SID;UNIZAR;Aragon;;;;email_24;Sí;Sí;;2012;Sí;2016;;2012;;2014;2015;2016;;;;;;;;;;;;;;;
SN00027;App1_196;App2_196;Nombre_196;V;Nombre_196 App1_196;homepages/Nombre_196App1_196;;UNIOVI;Asturias;;;;email_196;;;;2014;Sí;2017;;;;2014;2015;;2017;;;;;;;;;;;;;;
SN00028;App1_6;App2_6;Nombre_6;M;Nombre_6 App1_6;homepages/Nombre_6App1_6;Chotis;UPM;C. Madrid;;;;email_6;Sí;Sí;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00029;App1_197;App2_197;Nombre_197;V;Nombre_197 App1_197;homepages/Nombre_197App1_197;;UCLM;Castilla-La Mancha;;;;email_197;;;;2010;Sí;2017;2010;2012;2013;2014;2015;;2017;;;;;;;;;;;;;;
SN00030;App1_198;App2_198;Nombre_198;V;Nombre_198 App1_198;homepages/Nombre_198App1_198;;UNEX;Extremadura;;;;email_198;;;;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00031;App1_55;App2_55;Nombre_55;M;Nombre_55 App1_55;homepages/Nombre_55App1_55;;EHU;Pais Vasco;;;;email_55;;;;2010;Sí;2016;2010;2012;;2014;2015;2016;;;;;;;;;;;;;;;
SN00032;App1_7;App2_7;Nombre_7;M;Nombre_7 App1_7;homepages/Nombre_7App1_7;LoUISE;UCLM;Castilla-La Mancha;;;;email_7;;Sí;;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00033;App1_199;App2_199;Nombre_199;V;Nombre_199 App1_199;homepages/Nombre_199App1_199;;UMA;Andalucia;;;;email_199;;;;2014;Sí;2015;;;;2014;2015;;;;;;;;;;;;;;;;
SN00034;App1_200;App2_200;Nombre_200;V;Nombre_200 App1_200;homepages/Nombre_200App1_200;;UCM;C. Madrid;;;;email_200;;;;2012;Sí;2015;;2012;;2014;2015;;;;;;;;;;;;;;;;
SN00035;App1_201;App2_201;Nombre_201;V;Nombre_201 App1_201;homepages/Nombre_201App1_201;;US;Andalucia;;;;email_201;;;;2014;Sí;2017;;;;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00036;App1_56;App2_56;Nombre_56;M;Nombre_56 App1_56;homepages/Nombre_56App1_56;;UPC;Cataluña;;;;email_56;;;;2012;Sí;2016;;2012;;2014;2015;2016;;;;;;;;;;;;;;;
SN00037;App1_25;App2_25;Nombre_25;V;Nombre_25 App1_25;homepages/Nombre_25App1_25;FADoSS;UCM;C. Madrid;;;;email_25;;Sí;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00038;App1_57;App2_57;Nombre_57;M;Nombre_57 App1_57;homepages/Nombre_57App1_57;;UPM;C. Madrid;;;;email_57;;;;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00039;App1_58;App2_58;Nombre_58;M;Nombre_58 App1_58;homepages/Nombre_58App1_58;;UPC;Cataluña;;;;email_58;;;;2014;Sí;2016;;;;2014;2015;2016;;;;;;;;;;;;;;;
SN00040;App1_8;App2_8;Nombre_8;M;Nombre_8 App1_8;homepages/Nombre_8App1_8;GESSI;UPC;Cataluña;;;;email_8;;Sí;;2014;Sí;2017;;;;2014;2015;;2017;;;;;;;;;;;;;;
SN00041;App1_202;App2_202;Nombre_202;V;Nombre_202 App1_202;homepages/Nombre_202App1_202;;US;Andalucia;;;;email_202;;;;2010;Sí;2015;2010;2012;2013;2014;2015;;;;;;;;;;;;;;;;
SN00042;App1_203;App2_203;Nombre_203;V;Nombre_203 App1_203;homepages/Nombre_203App1_203;;UCM;C. Madrid;;;;email_203;;;;2014;Sí;2015;;;;2014;2015;;;;;;;;;;;;;;;;
SN00043;App1_26;App2_26;Nombre_26;V;Nombre_26 App1_26;homepages/Nombre_26App1_26;"Knowledge Discovery and Intelligent Systems
";UCO;Andalucia;;;;email_26;;Sí;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00044;App1_204;App2_204;Nombre_204;V;Nombre_204 App1_204;homepages/Nombre_204App1_204;ISA;US;Andalucia;;;;email_204;Sí;;;2010;Sí;2016;2010;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;
SN00045;App1_205;App2_205;Nombre_205;V;Nombre_205 App1_205;homepages/Nombre_205App1_205;;UCM;C. Madrid;;;;email_205;;;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00046;App1_9;App2_9;Nombre_9;M;Nombre_9 App1_9;homepages/Nombre_9App1_9;SSE;MONDRAGON;Pais Vasco;;;;email_9;Sí;Sí;;2012;Sí;2017;;2012;;2014;2015;;2017;;;;;;;;;;;;;;
SN00047;App1_27;App2_27;Nombre_27;V;Nombre_27 App1_27;homepages/Nombre_27App1_27;IMP;UPC;Cataluña;;;;email_27;Sí;Sí;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00048;App1_59;App2_59;Nombre_59;M;Nombre_59 App1_59;homepages/Nombre_59App1_59;;UPV;C. Valenciana;;;;email_59;;;;2010;Sí;2016;2010;;2013;2014;2015;2016;;;;;;;;;;;;;;;
SN00049;App1_206;App2_206;Nombre_206;V;Nombre_206 App1_206;homepages/Nombre_206App1_206;;UMA;Andalucia;;;;email_206;;;;2012;Sí;2017;;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00050;App1_207;App2_207;Nombre_207;V;Nombre_207 App1_207;homepages/Nombre_207App1_207;;UA;C. Valenciana;;;;email_207;;;;2010;Sí;2016;2010;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;
SN00051;App1_28;App2_28;Nombre_28;V;Nombre_28 App1_28;homepages/Nombre_28App1_28;Kybele;URJC;C. Madrid;;;;email_28;;Sí;;2010;Sí;2017;2010;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;
SN00052;App1_208;App2_208;Nombre_208;V;Nombre_208 App1_208;homepages/Nombre_208App1_208;;UCLM;Castilla-La Mancha;;;;email_208;;;;2010;Sí;2015;2010;;;2014;2015;;;;;;;;;;;;;;;;
SN00053;App1_209;App2_209;Nombre_209;V;Nombre_209 App1_209;homepages/Nombre_209App1_209;;UMA;Andalucia;;;;email_209;;;;2012;;2014;;2012;2013;2014;;;;;;;;;;;;;;;;;
SN00054;App1_210;App2_210;Nombre_210;V;Nombre_210 App1_210;homepages/Nombre_210App1_210;KHAOS;UMA;Andalucia;;;;email_210;Sí;;;2010;;2014;2010;2012;;2014;;;;;;;;;;;;;;;;;
SN00055;App1_211;App2_211;Nombre_211;V;Nombre_211 App1_211;homepages/Nombre_211App1_211;;EHU;Pais Vasco;;;;email_211;;;;2013;;2014;;;2013;2014;;;;;;;;;;;;;;;;;
SN00056;App1_212;App2_212;Nombre_212;V;Nombre_212 App1_212;homepages/Nombre_212App1_212;;US;Andalucia;;;;email_212;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00057;App1_213;App2_213;Nombre_213;V;Nombre_213 App1_213;homepages/Nombre_213App1_213;;OpenCanarias;Canarias;Si;;;email_213;;;;2013;Sí;2017;;;2013;2014;;;2017;;;;;;;;;;;;;;
SN00058;App1_214;App2_214;Nombre_214;V;Nombre_214 App1_214;homepages/Nombre_214App1_214;;ITA;Aragon;;Si;;email_214;;;;2013;;2014;;;2013;2014;;;;;;;;;;;;;;;;;
SN00059;App1_215;App2_215;Nombre_215;V;Nombre_215 App1_215;homepages/Nombre_215App1_215;;UMINHO-PT;Extranjero;;;PT;email_215;;;;2014;Sí;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00060;App1_216;App2_216;Nombre_216;V;Nombre_216 App1_216;homepages/Nombre_216App1_216;;UM;Murcia;;;;email_216;;;;2012;Sí;2017;;2012;2013;2014;;;2017;;;;;;;;;;;;;;
SN00061;App1_217;App2_217;Nombre_217;V;Nombre_217 App1_217;homepages/Nombre_217App1_217;;UGR;Andalucia;;;;email_217;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00062;App1_60;App2_60;Nombre_60;M;Nombre_60 App1_60;homepages/Nombre_60App1_60;;TU Wien;Extranjero;;;AT;email_60;;;;2010;Sí;2017;2010;2012;2013;2014;;2016;2017;;;;;;;;;;;;;;
SN00063;App1_218;App2_218;Nombre_218;V;Nombre_218 App1_218;homepages/Nombre_218App1_218;;UMA;Andalucia;;;;email_218;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00064;App1_61;App2_61;Nombre_61;M;Nombre_61 App1_61;homepages/Nombre_61App1_61;;US;Andalucia;;;;email_61;;;;2012;;2014;;2012;;2014;;;;;;;;;;;;;;;;;
SN00065;App1_219;App2_219;Nombre_219;V;Nombre_219 App1_219;homepages/Nombre_219App1_219;;UMA;Andalucia;;;;email_219;;;;2010;Sí;2016;2010;;2013;2014;;2016;;;;;;;;;;;;;;;
SN00066;App1_62;App2_62;Nombre_62;M;Nombre_62 App1_62;homepages/Nombre_62App1_62;;URJC;C. Madrid;;;;email_62;;;;2010;Sí;2016;2010;2012;2013;2014;;2016;;;;;;;;;;;;;;;
SN00068;App1_10;App2_10;Nombre_10;M;Nombre_10 App1_10;homepages/Nombre_10App1_10;IWT2;US;Andalucia;;;;email_10;Sí;Sí;;2010;Sí;2016;2010;;2013;2014;;2016;;;;;;;;;;;;;;;
SN00069;App1_220;App2_220;Nombre_220;V;Nombre_220 App1_220;homepages/Nombre_220App1_220;;UPV;C. Valenciana;;;;email_220;;;;2010;Sí;2017;2010;;;2014;;;2017;;;;;;;;;;;;;;
SN00070;App1_63;App2_63;Nombre_63;M;Nombre_63 App1_63;homepages/Nombre_63App1_63;;UMA;Andalucia;;;;email_63;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00071;App1_221;App2_221;Nombre_221;V;Nombre_221 App1_221;homepages/Nombre_221App1_221;;UPM;C. Madrid;;;;email_221;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00072;App1_222;App2_222;Nombre_222;V;Nombre_222 App1_222;homepages/Nombre_222App1_222;;FRANKFURT-D;Extranjero;;;D;email_222;;;;2012;Sí;2014;;2012;;2014;;;;;;;;;;;;;;;;;
SN00073;App1_64;App2_64;Nombre_64;M;Nombre_64 App1_64;homepages/Nombre_64App1_64;;UMA;Andalucia;;;;email_64;;;;2013;Sí;2016;;;2013;2014;;2016;;;;;;;;;;;;;;;
SN00074;App1_65;App2_65;Nombre_65;M;Nombre_65 App1_65;homepages/Nombre_65App1_65;;ITA;Aragon;;Si;;email_65;;;;2013;;2014;;;2013;2014;;;;;;;;;;;;;;;;;
SN00075;App1_223;App2_223;Nombre_223;V;Nombre_223 App1_223;homepages/Nombre_223App1_223;;IWT2;C. Madrid;Si;;;email_223;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00076;App1_66;App2_66;Nombre_66;M;Nombre_66 App1_66;homepages/Nombre_66App1_66;;UMA;Andalucia;;;;email_66;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00077;App1_67;App2_67;Nombre_67;M;Nombre_67 App1_67;homepages/Nombre_67App1_67;;UCA;Andalucia;;;;email_67;;;;2010;Sí;2016;2010;;;2014;;2016;;;;;;;;;;;;;;;
SN00078;App1_68;App2_68;Nombre_68;M;Nombre_68 App1_68;homepages/Nombre_68App1_68;;UCM;C. Madrid;;;;email_68;;;;2012;Sí;2015;;2012;;2014;2015;;;;;;;;;;;;;;;;
SN00079;App1_224;App2_224;Nombre_224;V;Nombre_224 App1_224;homepages/Nombre_224App1_224;;INDRA;C. Madrid;Si;;;email_224;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00080;App1_225;App2_225;Nombre_225;V;Nombre_225 App1_225;homepages/Nombre_225App1_225;;UNEX;Extremadura;;;;email_225;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
